Infra Disposition,SKUAzure,SKUAWS,SKU GCP,On Prem Datbase Name,AWS Database Name,AWS Database instance,Azure Database Name,Azure database instance,GCP database Name,GCP Database Instance
,GS1,i2.xlarge,n2-standard-8,,,,,GS1,,
,GS2,i3.16xlarge,n2-standard-96,,,,,GS2,,
,GS3,i3.2xlarge,,,,,,GS3,,
,GS4,i3.4xlarge,,,,,,GS4,,
,GS5,i3.8xlarge,,,,,,GS5,,
,H16,i3.large,,,,,,H16,,
,H16m,i3.metal,,,,,,H16m,,
,H16mr,i3.xlarge,,,,,,H16mr,,
,H16r,i3en.12xlarge,,,,,,H16r,,
,H8,i3en.24xlarge,,,,,,H8,,
,H8m,i3en.3xlarge,,,,,,H8m,,
,HC44rs,i3en.6xlarge,,,,,,HC44rs,,
,L16s,i3en.large,,,,,,L16s,,
,L32s,i3en.metal,,,,,,L32s,,
,L48s v2,i3en.xlarge,,,,,,L48s v2,,
,L80s v2,inf1.24xlarge,,,,,,L80s v2,,
,L8s,inf1.2xlarge,,,,,,L8s,,
,M128ms,inf1.6xlarge,,,,,,M128ms,,
,M128s,inf1.xlarge,,,,,,M128s,,
,M16ms,m1.large,,,,,,M16ms,,
,M16s,m1.small,,,,,,M16s,,
,M208ms v2,m1.xlarge,,,,,,M208ms v2,,
,M208s v2,m2.2xlarge,,,,,,M208s v2,,
,M32ls,m2.4xlarge,,,,,,M32ls,,
,M32ms,m2.xlarge,,,,,,M32ms,,
,M32s,m3.2xlarge,,,,,,M32s,,
,M32ts,m3.medium,,,,,,M32ts,,
,M416s v2,m3.xlarge,,,,,,M416s v2,,
,M64ls,m4.10xlarge,,,,,,M64ls,,
,M64ms,m4.16xlarge,,,,,,M64ms,,
,M64s,m4.2xlarge,,,,,,M64s,,
,M8ms,m4.large,,,,,,M8ms,,
,NC12s v3,m4.xlarge,,,,,,NC12s v3,,
,NC24,m5.12xlarge,,,,,,NC24,,
,NC24R,m5.16xlarge,,,,,,NC24R,,
,NC24rs v3,m5.24xlarge,,,,,,NC24rs v3,,
,NC24s v2,m5.2xlarge,,,,,,NC24s v2,,
,NC24s v3,m5.4xlarge,,,,,,NC24s v3,,
,ND12s,m5.8xlarge,,,,,,ND12s,,
,ND24rs,m5.large,,,,,,ND24rs,,
,ND40rs v2,m5.metal,,,,,,ND40rs v2,,
,ND40s v2,m5.xlarge,,,,,,ND40s v2,,
,ND6s,m5a.12xlarge,,,,,,ND6s,,
,NV12,m5a.16xlarge,,,,,,NV12,,
,NV12s v3,m5a.24xlarge,,,,,,NV12s v3,,
,NV24,m5a.2xlarge,,,,,,NV24,,
,NV24s v3,m5a.4xlarge,,,,,,NV24s v3,,
,NV48s v3,m5a.8xlarge,,,,,,NV48s v3,,
,NV6,m5a.large,,,,,,NV6,,
,NV6s v2,m5a.xlarge,,,,,,NV6s v2,,
,PB12s,m5ad.12xlarge,,,,,,PB12s,,
,Type 2,m5ad.16xlarge,,,,,,Type 2,,
,Type 2 HM,m5ad.24xlarge,,,,,,Type 2 HM,,
,,m5ad.2xlarge,,,,,,,,
,,m5ad.4xlarge,,,,,,,,
,,m5ad.8xlarge,,,,,,,,
,,m5ad.xlarge,,,,,,,,
,,m5d.12xlarge,,,,,,,,
,,m5d.16xlarge,,,,,,,,
,,m5d.24xlarge,,,,,,,,
,,m5d.2xlarge,,,,,,,,
,,m5d.4xlarge,,,,,,,,
,,m5d.8xlarge,,,,,,,,
,,m5d.large,,,,,,,,
,,m5d.metal,,,,,,,,
,,m5d.xlarge,,,,,,,,
,,m5dn.12xlarge,,,,,,,,
,,m5dn.16xlarge,,,,,,,,
,,m5dn.24xlarge,,,,,,,,
,,m5dn.2xlarge,,,,,,,,
,,m5dn.4xlarge,,,,,,,,
,,m5dn.large,,,,,,,,
,,m5dn.xlarge,,,,,,,,
,,m5n.12xlarge,,,,,,,,
,,m5n.16xlarge,,,,,,,,
,,m5n.24xlarge,,,,,,,,
,,m5n.2xlarge,,,,,,,,
,,m5n.4xlarge,,,,,,,,
,,m5n.8xlarge,,,,,,,,
,,m5n.large,,,,,,,,
,,m5n.xlarge,,,,,,,,
,,m6g.12xlarge,,,,,,,,
,,m6g.16xlarge,,,,,,,,
,,m6g.2xlarge,,,,,,,,
,,m6g.8xlarge,,,,,,,,
,,m6g.large,,,,,,,,
,,m6g.medium,,,,,,,,
,,m6g.metal,,,,,,,,
,,m6g.xlarge,,,,,,,,
,,m6gd.12xlarge,,,,,,,,
,,m6gd.2xlarge,,,,,,,,
,,m6gd.4xlarge,,,,,,,,
,,m6gd.8xlarge,,,,,,,,
,,m6gd.medium,,,,,,,,
,,m6gd.xlarge,,,,,,,,
,,p2.8xlarge,,,,,,,,
,,p2.xlarge,,,,,,,,
,,p3.2xlarge,,,,,,,,
,,p3.8xlarge,,,,,,,,
,,r3.2xlarge,,,,,,,,
,,r3.4xlarge,,,,,,,,
,,r3.8xlarge,,,,,,,,
,,r3.large,,,,,,,,
,,r3.xlarge,,,,,,,,
,,r4.16xlarge,,,,,,,,
,,r4.2xlarge,,,,,,,,
,,r4.4xlarge,,,,,,,,
,,r4.8xlarge,,,,,,,,
,,r4.large,,,,,,,,
,,r4.xlarge,,,,,,,,
,,r5.12xlarge,,,,,,,,
,,r5.16xlarge,,,,,,,,
,,r5.24xlarge,,,,,,,,
,,r5.2xlarge,,,,,,,,
,,r5.4xlarge,,,,,,,,
,,r5.8xlarge,,,,,,,,
,,r5.large,,,,,,,,
,,r5.metal,,,,,,,,
